Point(-2.0, -2.0, 0.37840124765396416)
Point(-1.9595959595959596, -2.0, 0.3850876171552489)
Point(-1.9191919191919191, -2.0, 0.39114542184481493)
Point(-1.878787878787879, -2.0, 0.39656477378367244)
Point(-1.8383838383838385, -2.0, 0.4013368271565334)
Point(-1.797979797979798, -2.0, 0.40545379271052084)
Point(-1.7575757575757576, -2.0, 0.40890895046928893)
Point(-1.7171717171717171, -2.0, 0.4116966607018017)
Point(-1.6767676767676767, -2.0, 0.4138123731278647)
Point(-1.6363636363636362, -2.0, 0.4152526343453859)
Point(-1.595959595959596, -2.0, 0.4160150934672406)
Point(-1.5555555555555556, -2.0, 0.41609850595854114)
Point(-1.5151515151515151, -2.0, 0.41550273566804674)
Point(-1.4747474747474747, -2.0, 0.41422875505039836)
Point(-1.4343434343434343, -2.0, 0.41227864357881544)
Point(-1.393939393939394, -2.0, 0.40965558435084626)
Point(-1.3535353535353534, -2.0, 0.4063638588927105)
Point(-1.3131313131313131, -2.0, 0.4024088401707167)
Point(-1.2727272727272727, -2.0, 0.3977969838211606)
Point(-1.2323232323232323, -2.0, 0.39253581761301964)
Point(-1.1919191919191918, -2.0, 0.38663392916064376)
Point(-1.1515151515151514, -2.0, 0.38010095190649795)
Point(-1.1111111111111112, -2.0, 0.37294754939683705)
Point(-1.0707070707070705, -2.0, 0.36518539787597876)
Point(-1.0303030303030303, -2.0, 0.3568271672275857)
Point(-0.9898989898989898, -2.0, 0.34788650029406504)
Point(-0.9494949494949494, -2.0, 0.33837799060784246)
Point(-0.909090909090909, -2.0, 0.32831715857085875)
Point(-0.8686868686868685, -2.0, 0.3177204261211699)
Point(-0.8282828282828283, -2.0, 0.3066050899280023)
Point(-0.7878787878787878, -2.0, 0.29498929315901473)
Point(-0.7474747474747474, -2.0, 0.2828919958658522)
Point(-0.707070707070707, -2.0, 0.27033294403632796)
Point(-0.6666666666666665, -2.0, 0.25733263736375045)
Point(-0.6262626262626261, -2.0, 0.24391229578600374)
Point(-0.5858585858585856, -2.0, 0.23009382484899799)
Point(-0.5454545454545454, -2.0, 0.21589977995102652)
Point(-0.505050505050505, -2.0, 0.20135332952639187)
Point(-0.46464646464646453, -2.0, 0.18647821722839536)
Point(-0.4242424242424241, -2.0, 0.17129872317341657)
Point(-0.38383838383838365, -2.0, 0.1558396243093438)
Point(-0.3434343434343432, -2.0, 0.1401261539730436)
Point(-0.303030303030303, -2.0, 0.1241839607028834)
Point(-0.26262626262626254, -2.0, 0.10803906637353472)
Point(-0.2222222222222221, -2.0, 0.09171782372139389)
Point(-0.18181818181818166, -2.0, 0.07524687332994799)
Point(-0.14141414141414121, -2.0, 0.05865310014529864)
Point(-0.10101010101010077, -2.0, 0.04196358959282141)
Point(-0.06060606060606055, -2.0, 0.025205583366590064)
Point(-0.02020202020202011, -2.0, 0.008406434963728476)
Point(0.020202020202020332, -2.0, -0.00840643496372857)
Point(0.060606060606060996, -2.0, -0.025205583366590248)
Point(0.10101010101010122, -2.0, -0.0419635895928216)
Point(0.14141414141414144, -2.0, -0.05865310014529873)
Point(0.1818181818181821, -2.0, -0.07524687332994816)
Point(0.22222222222222232, -2.0, -0.09171782372139398)
Point(0.262626262626263, -2.0, -0.10803906637353491)
Point(0.3030303030303032, -2.0, -0.12418396070288348)
Point(0.3434343434343434, -2.0, -0.1401261539730437)
Point(0.3838383838383841, -2.0, -0.15583962430934398)
Point(0.4242424242424243, -2.0, -0.17129872317341668)
Point(0.464646464646465, -2.0, -0.1864782172283955)
Point(0.5050505050505052, -2.0, -0.20135332952639196)
Point(0.5454545454545459, -2.0, -0.21589977995102666)
Point(0.5858585858585861, -2.0, -0.23009382484899812)
Point(0.6262626262626263, -2.0, -0.2439122957860038)
Point(0.666666666666667, -2.0, -0.25733263736375056)
Point(0.7070707070707072, -2.0, -0.270332944036328)
Point(0.7474747474747478, -2.0, -0.28289199586585234)
Point(0.7878787878787881, -2.0, -0.2949892931590148)
Point(0.8282828282828287, -2.0, -0.30660508992800245)
Point(0.868686868686869, -2.0, -0.31772042612117)
Point(0.9090909090909092, -2.0, -0.3283171585708588)
Point(0.9494949494949498, -2.0, -0.33837799060784257)
Point(0.9898989898989901, -2.0, -0.3478865002940651)
Point(1.0303030303030307, -2.0, -0.3568271672275858)
Point(1.070707070707071, -2.0, -0.3651853978759788)
Point(1.1111111111111112, -2.0, -0.37294754939683705)
Point(1.1515151515151518, -2.0, -0.38010095190649795)
Point(1.191919191919192, -2.0, -0.3866339291606438)
Point(1.2323232323232327, -2.0, -0.3925358176130197)
Point(1.272727272727273, -2.0, -0.39779698382116063)
Point(1.3131313131313136, -2.0, -0.40240884017071676)
Point(1.3535353535353538, -2.0, -0.4063638588927105)
Point(1.393939393939394, -2.0, -0.40965558435084626)
Point(1.4343434343434347, -2.0, -0.4122786435788155)
Point(1.474747474747475, -2.0, -0.41422875505039836)
Point(1.5151515151515156, -2.0, -0.4155027356680468)
Point(1.5555555555555558, -2.0, -0.41609850595854114)
Point(1.5959595959595965, -2.0, -0.4160150934672406)
Point(1.6363636363636367, -2.0, -0.4152526343453859)
Point(1.676767676767677, -2.0, -0.4138123731278647)
Point(1.7171717171717176, -2.0, -0.41169666070180166)
Point(1.7575757575757578, -2.0, -0.40890895046928893)
Point(1.7979797979797985, -2.0, -0.4054537927105208)
Point(1.8383838383838387, -2.0, -0.4013368271565334)
Point(1.878787878787879, -2.0, -0.39656477378367244)
Point(1.9191919191919196, -2.0, -0.39114542184481493)
Point(1.9595959595959598, -2.0, -0.3850876171552489)
Point(2.0, -2.0, -0.37840124765396416)
Point(-2.0, -1.9595959595959596, 0.3446945690288889)
Point(-1.9595959595959596, -1.9595959595959596, 0.35078533978586296)
Point(-1.9191919191919191, -1.9595959595959596, 0.3563035361176061)
Point(-1.878787878787879, -1.9595959595959596, 0.36124015086864575)
Point(-1.8383838383838385, -1.9595959595959596, 0.36558712617842426)
Point(-1.797979797979798, -1.9595959595959596, 0.36933736663385797)
Point(-1.7575757575757576, -1.9595959595959596, 0.3724847508509272)
Point(-1.7171717171717171, -1.9595959595959596, 0.375024141466394)
Point(-1.6767676767676767, -1.9595959595959596, 0.37695139352333684)
Point(-1.6363636363636362, -1.9595959595959596, 0.3782633612368167)
Point(-1.595959595959596, -1.9595959595959596, 0.37895790312862937)
Point(-1.5555555555555556, -1.9595959595959596, 0.3790338855227645)
Point(-1.5151515151515151, -1.9595959595959596, 0.37849118439586443)
Point(-1.4747474747474747, -1.9595959595959596, 0.3773306855796633)
Point(-1.4343434343434343, -1.9595959595959596, 0.37555428331507495)
Point(-1.393939393939394, -1.9595959595959596, 0.37316487716029156)
Point(-1.3535353535353534, -1.9595959595959596, 0.3701663672579375)
Point(-1.3131313131313131, -1.9595959595959596, 0.36656364796900565)
Point(-1.2727272727272727, -1.9595959595959596, 0.36236259988396574)
Point(-1.2323232323232323, -1.9595959595959596, 0.3575700802240864)
Point(-1.1919191919191918, -1.9595959595959596, 0.3521939116486365)
Point(-1.1515151515151514, -1.9595959595959596, 0.34624286948623695)
Point(-1.1111111111111112, -1.9595959595959596, 0.3397266674112042)
Point(-1.0707070707070705, -1.9595959595959596, 0.33265594158826534)
Point(-1.0303030303030303, -1.9595959595959596, 0.3250422333115249)
Point(-0.9898989898989898, -1.9595959595959596, 0.31689797016602134)
Point(-0.9494949494949494, -1.9595959595959596, 0.3082364457426222)
Point(-0.909090909090909, -1.9595959595959596, 0.2990717979393691)
Point(-0.8686868686868685, -1.9595959595959596, 0.2894189858846896)
Point(-0.8282828282828283, -1.9595959595959596, 0.27929376552014473)
Point(-0.7878787878787878, -1.9595959595959596, 0.26871266388256565)
Point(-0.7474747474747474, -1.9595959595959596, 0.2576929521275605)
Point(-0.707070707070707, -1.9595959595959596, 0.24625261733842124)
Point(-0.6666666666666665, -1.9595959595959596, 0.23441033316644794)
Point(-0.6262626262626261, -1.9595959595959596, 0.2221854293506124)
Point(-0.5858585858585856, -1.9595959595959596, 0.20959786016631313)
Point(-0.5454545454545454, -1.9595959595959596, 0.196668171854722)
Point(-0.505050505050505, -1.9595959595959596, 0.18341746908588558)
Point(-0.46464646464646453, -1.9595959595959596, 0.16986738051032396)
Point(-0.4242424242424241, -1.9595959595959596, 0.15604002345535398)
Point(-0.38383838383838365, -1.9595959595959596, 0.14195796782376302)
Point(-0.3434343434343432, -1.9595959595959596, 0.12764419925376003)
Point(-0.303030303030303, -1.9595959595959596, 0.11312208160033649)
Point(-0.26262626262626254, -1.9595959595959596, 0.09841531879927706)
Point(-0.2222222222222221, -1.9595959595959596, 0.0835479161760694)
Point(-0.18181818181818166, -1.9595959595959596, 0.06854414126286536)
Point(-0.14141414141414121, -1.9595959595959596, 0.053428484187452115)
Point(-0.10101010101010077, -1.9595959595959596, 0.03822561769888819)
Point(-0.06060606060606055, -1.9595959595959596, 0.02296035689505337)
Point(-0.02020202020202011, -1.9595959595959596, 0.007657618717847308)
Point(0.020202020202020332, -1.9595959595959596, -0.007657618717847392)
Point(0.060606060606060996, -1.9595959595959596, -0.022960356895053532)
Point(0.10101010101010122, -1.9595959595959596, -0.03822561769888835)
Point(0.14141414141414144, -1.9595959595959596, -0.053428484187452205)
Point(0.1818181818181821, -1.9595959595959596, -0.06854414126286551)
Point(0.22222222222222232, -1.9595959595959596, -0.08354791617606948)
Point(0.262626262626263, -1.9595959595959596, -0.09841531879927723)
Point(0.3030303030303032, -1.9595959595959596, -0.11312208160033657)
Point(0.3434343434343434, -1.9595959595959596, -0.1276441992537601)
Point(0.3838383838383841, -1.9595959595959596, -0.14195796782376316)
Point(0.4242424242424243, -1.9595959595959596, -0.15604002345535406)
Point(0.464646464646465, -1.9595959595959596, -0.1698673805103241)
Point(0.5050505050505052, -1.9595959595959596, -0.18341746908588566)
Point(0.5454545454545459, -1.9595959595959596, -0.19666817185472213)
Point(0.5858585858585861, -1.9595959595959596, -0.20959786016631327)
Point(0.6262626262626263, -1.9595959595959596, -0.22218542935061245)
Point(0.666666666666667, -1.9595959595959596, -0.23441033316644805)
Point(0.7070707070707072, -1.9595959595959596, -0.2462526173384213)
Point(0.7474747474747478, -1.9595959595959596, -0.2576929521275606)
Point(0.7878787878787881, -1.9595959595959596, -0.2687126638825657)
Point(0.8282828282828287, -1.9595959595959596, -0.27929376552014484)
Point(0.868686868686869, -1.9595959595959596, -0.28941898588468973)
Point(0.9090909090909092, -1.9595959595959596, -0.29907179793936917)
Point(0.9494949494949498, -1.9595959595959596, -0.3082364457426223)
Point(0.9898989898989901, -1.9595959595959596, -0.3168979701660214)
Point(1.0303030303030307, -1.9595959595959596, -0.325042233311525)
Point(1.070707070707071, -1.9595959595959596, -0.3326559415882654)
Point(1.1111111111111112, -1.9595959595959596, -0.3397266674112042)
Point(1.1515151515151518, -1.9595959595959596, -0.346242869486237)
Point(1.191919191919192, -1.9595959595959596, -0.3521939116486365)
